,B19058_002E,zip code tabulation area
1677,35,5905
1678,118,5906
1679,17,5907
1680,141,6001
1681,1094,6002
1682,4051,6010
1683,50,6013
1684,273,6016
1685,71,6018
1686,159,6019
1687,0,6020
1688,0,6021
1689,0,6022
1690,81,6023
1691,0,6024
1692,78,6026
1693,21,6027
1694,440,6029
1695,24,6031
1696,198,6032
1697,690,6033
1698,142,6035
1699,277,6037
1700,42,6039
1701,2893,6040
1702,874,6042
1703,143,6043
1704,5555,6051
1705,571,6052
1706,3174,6053
1707,34,6057
1708,53,6058
1709,0,6059
1710,33,6060
1711,0,6061
1712,811,6062
1713,28,6063
1714,8,6065
1715,2014,6066
1716,653,6067
1717,24,6068
1718,38,6069
1719,168,6070
1720,239,6071
1721,47,6073
1722,347,6074
1723,618,6076
1724,184,6078
1725,27,6081
1726,1718,6082
1727,104,6084
1728,335,6085
1729,238,6088
1730,81,6089
1731,12,6090
1732,5,6091
1733,5,6092
1734,44,6093
1735,858,6095
1736,482,6096
1737,939,6098
1738,74,6103
1739,3335,6105
1740,6074,6106
1741,250,6107
1742,2549,6108
1743,1046,6109
1744,680,6110
1745,1036,6111
1746,3038,6112
1747,4102,6114
1748,308,6117
1749,2066,6118
1750,956,6119
1751,2881,6120
1752,0,6160
1753,2435,6226
1754,10,6231
1755,20,6232
1756,477,6234
1757,31,6235
1758,60,6237
1759,241,6238
1760,1048,6239
1761,386,6241
1762,20,6242
1763,0,6243
1764,103,6247
1765,63,6248
1766,147,6249
1767,229,6250
1768,53,6254
1769,240,6255
1770,106,6256
1771,170,6259
1772,475,6260
1773,44,6262
1774,8,6263
1775,0,6264
1776,0,6266
1777,272,6268
1778,0,6269
1779,96,6277
1780,228,6278
1781,120,6279
1782,91,6280
1783,137,6281
1784,9,6282
1785,3516,6320
1786,190,6330
1787,227,6331
1788,56,6332
1789,81,6333
1790,81,6334
1791,148,6335
1792,0,6336
1793,286,6339
1794,1721,6340
1795,0,6350
1796,756,6351
1797,0,6353
1798,267,6354
1799,297,6355
1800,297,6357
1801,132,6359
1802,3147,6360
1803,155,6365
1804,170,6370
1805,134,6371
1806,49,6373
1807,483,6374
1808,143,6375
1809,0,6376
1810,147,6377
1811,88,6378
1812,388,6379
1813,338,6380
1814,446,6382
1815,114,6384
1816,606,6385
1817,63,6387
1818,0,6389
1819,0,6390
1820,1443,6401
1821,131,6403
1822,778,6405
1823,37,6409
1824,503,6410
1825,83,6412
1826,382,6413
1827,0,6414
1828,357,6415
1829,404,6416
1830,82,6417
1831,725,6418
1832,95,6419
1833,65,6420
1834,96,6422
1835,104,6423
1836,229,6424
1837,73,6426
1838,414,6437
1839,97,6438
1840,77,6441
1841,9,6442
1842,264,6443
1843,0,6444
1844,134,6447
1845,4015,6450
