,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
1844,1259137,166091,156607,172290,397987,366162,1448890,190625,199792,101200,133809,99187,119466,115115,59034,430662,238284,61,36
1845,34772,3477,12383,10321,5443,3148,40614,3838,6132,3975,5989,4908,5608,4175,1531,4458,10671,107,36
1846,55476,6872,18110,18041,7518,4935,65512,8248,9950,5566,10301,7465,9102,5915,3268,5697,15697,11,36
1847,29704,3888,11706,9394,2874,1842,34837,5564,5133,3425,5264,4480,4550,3179,1048,2194,8304,73,36
1848,160285,9779,39770,46001,37413,27322,188014,16815,24918,13172,21854,19232,24476,21380,9841,36326,47364,91,36
1849,204647,26017,45439,50437,44992,37762,250238,38415,34977,18294,29728,21268,24658,20125,9805,52968,89800,87,36
1850,45715,4825,14109,13006,7112,6663,52531,5622,7489,4514,7005,6213,7439,5411,2164,6674,10989,21,36
1851,18363,1861,8436,5080,1664,1322,21695,2459,3375,2203,3315,2683,3400,1800,759,1701,6249,49,36
1852,150502,13588,52205,49339,20569,14801,177438,17887,28262,16597,26850,22535,24804,15767,7301,17435,43153,63,36
1853,668102,82929,130493,135807,159656,159217,795145,118015,107934,52958,84517,67248,73659,64019,31802,194993,219106,119,36
1854,32972,4051,12403,9386,3997,3135,39605,3968,7610,4612,6061,4775,5093,3648,1208,2630,7981,25,36
1855,28866,2638,9615,8909,4186,3518,33151,3493,5376,2932,5139,4341,4634,2921,1459,2856,6387,31,36
1856,34126,5062,12036,11210,3460,2358,40173,4474,7519,4024,6058,4881,5441,3412,1298,3066,11312,57,36
1857,942504,84880,219372,220149,229392,188711,1121132,156847,141800,73049,116738,97397,113534,96907,48433,276427,298089,59,36
1858,328506,37040,103011,82970,62620,42865,389289,73275,54778,26365,40599,30523,39716,34987,17347,71699,105093,85,36
1859,72131,8603,26084,20771,8335,8338,91918,13873,18984,8582,12648,10079,10808,7929,2889,6126,22497,89,36
1860,13177,1354,5073,3841,1568,1341,15255,1560,2747,1692,2548,1713,2055,1305,497,1138,3591,97,36
